Activity_ID,P_ID,Duration,Activity_Type,Frequency
50000,100,Upto 300,HIT,6
50001,101,Upto 300,HIT,6
50002,102,Upto 100,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
50003,103,Upto 80,Running,2
50004,104,Upto 45,Cardio,1
50005,105,Upto 300,HIT,6
50006,106,Upto 80,Running,2
50007,107,Upto 300,HIT,6
50008,108,Upto 45,Cardio,1
50009,109,Upto 80,Running,2
50010,110,Upto 300,HIT,6
50011,111,Upto 100,Fruits and Vegetables,Percent of adults who report consuming vegetables less than one time daily
50012,112,Upto 175,Power Lifter,3
50013,113,Upto 80,Running,2
50014,114,Upto 300,HIT,6
50015,115,Upto 45,Cardio,1
50016,116,Upto 300,HIT,6
50017,117,Upto 45,Cardio,1
50018,118,Upto 300,HIT,6
50019,119,Upto 215,Muscle Training,4
50020,120,Upto 300,HIT,6
50021,121,Upto 275,Cross Fit / Calisthenics,5
50022,122,Upto 300,HIT,6
50023,123,Upto 45,Cardio,1
50024,124,Upto 45,Cardio,1
50025,125,Upto 450,Everything,7
50026,126,Upto 80,Running,2
50027,127,Upto 80,Running,2
50028,128,Upto 300,HIT,6
50029,129,Upto 45,Cardio,1
50030,130,Upto 215,Muscle Training,4
50031,131,Upto 300,HIT,6
50032,132,Upto 80,Running,2
50033,133,Upto 45,Cardio,1
50034,134,Upto 300,HIT,6
50035,135,Upto 300,HIT,6
50036,136,Upto 175,Power Lifter,3
50037,137,Upto 80,Running,2
50038,138,Upto 275,Cross Fit / Calisthenics,5
50039,139,Upto 80,Running,2
50040,140,Upto 275,Cross Fit / Calisthenics,5
50041,141,Upto 450,Everything,7
50042,142,Upto 300,HIT,6
50043,143,Upto 80,Running,2
50044,144,Upto 45,Cardio,1
50045,145,Upto 45,Cardio,1
50046,146,Upto 80,Running,2
50047,147,Upto 300,HIT,6
50048,148,Upto 175,Power Lifter,3
50049,149,Upto 80,Running,2
50050,150,Upto 45,Cardio,1
50051,151,Upto 80,Running,2
50052,152,Upto 45,Cardio,1
50053,153,Upto 45,Cardio,1
50054,154,Upto 45,Cardio,1
50055,155,Upto 80,Running,2
50056,156,Upto 300,HIT,6
50057,157,Upto 45,Cardio,1
50058,158,Upto 80,Running,2
50059,159,Upto 80,Running,2
50060,160,Upto 300,HIT,6
50061,161,Upto 80,Running,2
50062,162,Upto 175,Power Lifter,3
50063,163,Upto 215,Muscle Training,4
50064,164,Upto 45,Cardio,1
50065,165,Upto 80,Running,2
50066,166,Upto 80,Running,2
50067,167,Upto 45,Cardio,1
50068,168,Upto 80,Running,2
50069,169,Upto 80,Running,2
50070,170,Upto 80,Running,2
50071,171,Upto 45,Cardio,1
50072,172,Upto 300,HIT,6
50073,173,Upto 45,Cardio,1
50074,174,Upto 80,Running,2
50075,175,Upto 300,HIT,6
50076,176,Upto 80,Running,2
50077,177,Upto 80,Running,2
50078,178,Upto 45,Cardio,1
50079,179,Upto 300,HIT,6
50080,180,Upto 80,Running,2
50081,181,Upto 80,Running,2
50082,182,Upto 80,Running,2
50083,183,Upto 80,Running,2
50084,184,Upto 45,Cardio,1
50085,185,Upto 45,Cardio,1
50086,186,Upto 80,Running,2
50087,187,Upto 45,Cardio,1
50088,188,Upto 45,Cardio,1
50089,189,Upto 80,Running,2
50090,190,Upto 80,Running,2
50091,191,Upto 80,Running,2
50092,192,Upto 45,Cardio,1
50093,193,Upto 300,HIT,6
50094,194,Upto 45,Cardio,1
50095,195,Upto 80,Running,2
50096,196,Upto 300,HIT,6
50097,197,Upto 80,Running,2
50098,198,Upto 80,Running,2
50099,199,Upto 45,Cardio,1
50100,200,Upto 300,HIT,6
50101,201,Upto 80,Running,2
50102,202,Upto 80,Running,2
50103,203,Upto 80,Running,2
50104,204,Upto 80,Running,2
50105,205,Upto 45,Cardio,1
50106,206,Upto 45,Cardio,1
50107,207,Upto 80,Running,2
50108,208,Upto 45,Cardio,1
50109,209,Upto 45,Cardio,1
50110,210,Upto 80,Running,2
50111,211,Upto 300,HIT,6
50112,212,Upto 45,Cardio,1
50113,213,Upto 80,Running,2
50114,214,Upto 80,Running,2
50115,215,Upto 300,HIT,6
50116,216,Upto 300,HIT,6
50117,217,Upto 100,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
50118,218,Upto 45,Cardio,1
50119,219,Upto 300,HIT,6
50120,220,Upto 300,HIT,6
50121,221,Upto 300,HIT,6
50122,222,Upto 80,Running,2
50123,223,Upto 80,Running,2
50124,224,Upto 45,Cardio,1
50125,225,Upto 80,Running,2
50126,226,Upto 80,Running,2
50127,227,Upto 300,HIT,6
50128,228,Upto 45,Cardio,1
50129,229,Upto 80,Running,2
50130,230,Upto 300,HIT,6
50131,231,Upto 45,Cardio,1
50132,232,Upto 45,Cardio,1
50133,233,Upto 80,Running,2
50134,234,Upto 300,HIT,6
50135,235,Upto 45,Cardio,1
50136,236,Upto 45,Cardio,1
50137,237,Upto 45,Cardio,1
50138,238,Upto 45,Cardio,1
50139,239,Upto 300,HIT,6
50140,240,Upto 80,Running,2
50141,241,Upto 45,Cardio,1
50142,242,Upto 45,Cardio,1
50143,243,Upto 80,Running,2
50144,244,Upto 45,Cardio,1
50145,245,Upto 300,HIT,6
50146,246,Upto 45,Cardio,1
50147,247,Upto 300,HIT,6
50148,248,Upto 80,Running,2
50149,249,Upto 80,Running,2
50150,250,Upto 300,HIT,6
50151,251,Upto 300,HIT,6
50152,252,Upto 300,HIT,6
50153,253,Upto 80,Running,2
50154,254,Upto 300,HIT,6
50155,255,Upto 45,Cardio,1
50156,256,Upto 80,Running,2
50157,257,Upto 300,HIT,6
50158,258,Upto 300,HIT,6
50159,259,Upto 300,HIT,6
50160,260,Upto 45,Cardio,1
50161,261,Upto 300,HIT,6
50162,262,Upto 45,Cardio,1
50163,263,Upto 80,Running,2
50164,264,Upto 45,Cardio,1
50165,265,Upto 45,Cardio,1
50166,266,Upto 45,Cardio,1
50167,267,Upto 80,Running,2
50168,268,Upto 80,Running,2
50169,269,Upto 80,Running,2
50170,270,Upto 300,HIT,6
50171,271,Upto 45,Cardio,1
50172,272,Upto 45,Cardio,1
50173,273,Upto 80,Running,2
50174,274,Upto 45,Cardio,1
50175,275,Upto 300,HIT,6
50176,276,Upto 45,Cardio,1
50177,277,Upto 300,HIT,6
50178,278,Upto 45,Cardio,1
50179,279,Upto 300,HIT,6
50180,280,Upto 80,Running,2
50181,281,Upto 45,Cardio,1
50182,282,Upto 80,Running,2
50183,283,Upto 80,Running,2
50184,284,Upto 300,HIT,6
50185,285,Upto 300,HIT,6
50186,286,Upto 45,Cardio,1
