State_ID,State_Name,GeoLocation,P_ID,D_ID,Weather_ID
600000,Puerto Rico,"(18.220833, -66.590149)",100,150000,300000
600001,Wyoming,"(43.235541343, -108.109830353)",101,150001,300001
600002,Washington,"(47.522278629, -120.47001079)",102,150002,300002
600003,Puerto Rico,"(18.220833, -66.590149)",103,150003,300003
600004,Guam,"(13.444304, 144.793731)",104,150004,300004
600005,Michigan,"(44.661319543001, -84.71439027)",105,150005,300005
600006,Utah,"(39.360700171, -111.587130635)",106,150006,300006
600007,Minnesota,"(46.35564873600049, -94.79420050299967)",107,150007,300007
600008,New Jersey,"(40.130570048, -74.273691288)",108,150008,300008
600009,Puerto Rico,"(18.220833, -66.590149)",109,150009,300009
600010,Guam,"(13.444304, 144.793731)",110,150010,300010
600011,Rhode Island,"(41.708280193, -71.522470314)",111,150011,300011
600012,Puerto Rico,"(18.220833, -66.590149)",112,150012,300012
600013,Puerto Rico,"(18.220833, -66.590149)",113,150013,300013
600014,Colorado,"(38.843840757, -106.133610921)",114,150014,300014
600015,Mississippi,"(32.745510099, -89.538030825)",115,150015,300015
600016,Wisconsin,"(44.393191174, -89.816370742)",116,150016,300016
600017,Louisiana,"(31.312660644, -92.445680071)",117,150017,300017
600018,Massachusetts,"(42.27687047, -72.082690675)",118,150018,300018
600019,Washington,"(47.522278629, -120.47001079)",119,150019,300019
600020,Puerto Rico,"(18.220833, -66.590149)",120,150020,300020
600021,Puerto Rico,"(18.220833, -66.590149)",121,150021,300021
600022,Puerto Rico,"(18.220833, -66.590149)",122,150022,300022
600023,Georgia,"(32.839681093, -83.627580346)",123,150023,300023
600024,Guam,"(13.444304, 144.793731)",124,150024,300024
600025,New Jersey,"(40.130570048, -74.273691288)",125,150025,300025
600026,North Carolina,"(35.466220975, -79.159250463)",126,150026,300026
600027,Pennsylvania,"(40.793730152, -77.860700294)",127,150027,300027
600028,Wyoming,"(43.235541343, -108.109830353)",128,150028,300028
600029,Guam,"(13.444304, 144.793731)",129,150029,300029
600030,Puerto Rico,"(18.220833, -66.590149)",130,150030,300030
600031,Wisconsin,"(44.393191174, -89.816370742)",131,150031,300031
600032,Arkansas,"(34.748650124, -92.274490743)",132,150032,300032
600033,Michigan,"(44.661319543001, -84.71439027)",133,150033,300033
600034,Colorado,"(38.843840757, -106.133610921)",134,150034,300034
600035,New Mexico,"(34.520880952, -106.240580985)",135,150035,300035
600036,Guam,"(13.444304, 144.793731)",136,150036,300036
600037,Guam,"(13.444304, 144.793731)",137,150037,300037
600038,Wisconsin,"(44.393191174, -89.816370742)",138,150038,300038
600039,Guam,"(13.444304, 144.793731)",139,150039,300039
600040,Puerto Rico,"(18.220833, -66.590149)",140,150040,300040
600041,Puerto Rico,"(18.220833, -66.590149)",141,150041,300041
600042,Texas,"(31.827240407, -99.426770206)",142,150042,300042
600043,Oregon,"(44.567449424, -120.155031326)",143,150043,300043
600044,Virgin Islands,"(18.335765, -64.896335)",144,150044,300044
600045,Nebraska,"(41.641040988001, -99.365720623)",145,150045,300045
600046,Guam,"(13.444304, 144.793731)",146,150046,300046
600047,Delaware,"(39.008830667, -75.577741168)",147,150047,300047
600048,Puerto Rico,"(18.220833, -66.590149)",148,150048,300048
600049,Puerto Rico,"(18.220833, -66.590149)",149,150049,300049
600050,Minnesota,"(46.355648736, -94.794200503)",150,150050,300050
600051,Vermont,"(43.625381239, -72.517640791)",151,150051,300051
600052,Georgia,"(32.839681093, -83.627580346)",152,150052,300052
600053,Iowa,"(42.469400913, -93.816490556)",153,150053,300053
600054,Arkansas,"(34.748650124, -92.274490743)",154,150054,300054
600055,Tennessee,"(35.68094058, -85.774490914)",155,150055,300055
600056,Illinois,"(40.485010283, -88.997710178)",156,150056,300056
600057,Oregon,"(44.567449424, -120.155031326)",157,150057,300057
600058,Puerto Rico,"(18.220833, -66.590149)",158,150058,300058
600059,Guam,"(13.444304, 144.793731)",159,150059,300059
600060,Guam,"(13.444304, 144.793731)",160,150060,300060
600061,South Dakota,"(44.353130053, -100.373530637)",161,150061,300061
600062,Guam,"(13.444304, 144.793731)",162,150062,300062
600063,New Jersey,"(40.130570048, -74.273691288)",163,150063,300063
600064,North Carolina,"(35.466220975, -79.159250463)",164,150064,300064
600065,Rhode Island,"(41.708280193, -71.522470314)",165,150065,300065
600066,Guam,"(13.444304, 144.793731)",166,150066,300066
600067,Puerto Rico,"(18.220833, -66.590149)",167,150067,300067
600068,Michigan,"(44.6613195430005, -84.71439026999968)",168,150068,300068
600069,Arizona,"(34.865970280000454, -111.76381127699972)",169,150069,300069
600070,Vermont,"(43.62538123900049, -72.51764079099962)",170,150070,300070
600071,Nevada,"(39.493240390000494, -117.07184056399967)",171,150071,300071
600072,Puerto Rico,"(18.220833, -66.590149)",172,150072,300072
600073,South Carolina,"(33.998821303000454, -81.04537120699968)",173,150073,300073
600074,Georgia,"(32.83968109300048, -83.62758034599966)",174,150074,300074
600075,Virginia,"(37.54268067400045, -78.45789046299967)",175,150075,300075
600076,California,"(37.63864012300047, -120.99999953799971)",176,150076,300076
600077,Louisiana,"(31.31266064400046, -92.44568007099969)",177,150077,300077
600078,Oklahoma,"(35.47203135600046, -97.52107021399968)",178,150078,300078
600079,Georgia,"(32.83968109300048, -83.62758034599966)",179,150079,300079
600080,Tennessee,"(35.68094058000048, -85.77449091399967)",180,150080,300080
600081,District of Columbia,"(38.89037138500049, -77.03196112699965)",181,150081,300081
600082,Nebraska,"(41.6410409880005, -99.36572062299967)",182,150082,300082
600083,Alaska,"(64.84507995700051, -147.72205903599973)",183,150083,300083
600084,Maryland,"(39.29058096400047, -76.60926011099963)",184,150084,300084
600085,Ohio,"(40.06021014100048, -82.40426005599966)",185,150085,300085
600086,Connecticut,"(41.56266102000046, -72.64984095199964)",186,150086,300086
600087,New Jersey,"(40.13057004800049, -74.27369128799967)",187,150087,300087
600088,Missouri,"(38.635790776000476, -92.56630005299968)",188,150088,300088
600089,Michigan,"(44.6613195430005, -84.71439026999968)",189,150089,300089
600090,Arizona,"(34.865970280000454, -111.76381127699972)",190,150090,300090
600091,Vermont,"(43.62538123900049, -72.51764079099962)",191,150091,300091
600092,Nevada,"(39.493240390000494, -117.07184056399967)",192,150092,300092
600093,Puerto Rico,"(18.220833, -66.590149)",193,150093,300093
600094,South Carolina,"(33.998821303000454, -81.04537120699968)",194,150094,300094
600095,Georgia,"(32.83968109300048, -83.62758034599966)",195,150095,300095
600096,Virginia,"(37.54268067400045, -78.45789046299967)",196,150096,300096
600097,California,"(37.63864012300047, -120.99999953799971)",197,150097,300097
600098,Louisiana,"(31.31266064400046, -92.44568007099969)",198,150098,300098
600099,Oklahoma,"(35.47203135600046, -97.52107021399968)",199,150099,300099
600100,Georgia,"(32.83968109300048, -83.62758034599966)",200,150100,300100
600101,Tennessee,"(35.68094058000048, -85.77449091399967)",201,150101,300101
600102,District of Columbia,"(38.89037138500049, -77.03196112699965)",202,150102,300102
600103,Nebraska,"(41.6410409880005, -99.36572062299967)",203,150103,300103
600104,Alaska,"(64.84507995700051, -147.72205903599973)",204,150104,300104
600105,Maryland,"(39.29058096400047, -76.60926011099963)",205,150105,300105
600106,Ohio,"(40.06021014100048, -82.40426005599966)",206,150106,300106
600107,Connecticut,"(41.56266102000046, -72.64984095199964)",207,150107,300107
600108,New Jersey,"(40.13057004800049, -74.27369128799967)",208,150108,300108
600109,Missouri,"(38.635790776000476, -92.56630005299968)",209,150109,300109
600110,Washington,"(47.52227862900048, -120.47001078999972)",210,150110,300110
600111,New Jersey,"(40.13057004800049, -74.27369128799967)",211,150111,300111
600112,Kentucky,"(37.645970271000465, -84.77497104799966)",212,150112,300112
600113,Florida,"(28.932040377000476, -81.92896053899966)",213,150113,300113
600114,North Carolina,"(35.466220975000454, -79.15925046299964)",214,150114,300114
600115,New York,"(42.82700103200045, -75.54397042699964)",215,150115,300115
600116,Colorado,"(38.843840757000464, -106.13361092099967)",216,150116,300116
600117,Missouri,"(38.635790776, -92.566300053)",217,150117,300117
600118,New Jersey,"(40.13057004800049, -74.27369128799967)",218,150118,300118
600119,South Carolina,"(33.998821303000454, -81.04537120699968)",219,150119,300119
600120,Kentucky,"(37.645970271000465, -84.77497104799966)",220,150120,300120
600121,Massachusetts,"(42.27687047000046, -72.08269067499964)",221,150121,300121
600122,Illinois,"(40.48501028300046, -88.99771017799969)",222,150122,300122
600123,Missouri,"(38.635790776000476, -92.56630005299968)",223,150123,300123
600124,Arizona,"(34.865970280000454, -111.76381127699972)",224,150124,300124
600125,Arkansas,"(34.74865012400045, -92.27449074299966)",225,150125,300125
600126,Nevada,"(39.493240390000494, -117.07184056399967)",226,150126,300126
600127,South Dakota,"(44.353130053000484, -100.3735306369997)",227,150127,300127
600128,North Dakota,"(47.47531977900047, -100.11842104899966)",228,150128,300128
600129,Montana,"(47.06652897200047, -109.42442064499971)",229,150129,300129
600130,Louisiana,"(31.31266064400046, -92.44568007099969)",230,150130,300130
600131,South Dakota,"(44.353130053000484, -100.3735306369997)",231,150131,300131
600132,Guam,"(13.444304, 144.793731)",232,150132,300132
600133,Minnesota,"(46.35564873600049, -94.79420050299967)",233,150133,300133
600134,Oklahoma,"(35.47203135600046, -97.52107021399968)",234,150134,300134
600135,Utah,"(39.360700171000474, -111.58713063499971)",235,150135,300135
600136,New Hampshire,"(43.65595011300047, -71.50036091999965)",236,150136,300136
600137,California,"(37.63864012300047, -120.99999953799971)",237,150137,300137
600138,Kansas,"(38.34774030000045, -98.20078122699965)",238,150138,300138
600139,Wyoming,"(43.23554134300048, -108.10983035299967)",239,150139,300139
600140,Rhode Island,"(41.70828019300046, -71.52247031399963)",240,150140,300140
600141,Hawaii,"(21.304850435000446, -157.85774940299973)",241,150141,300141
600142,Connecticut,"(41.56266102000046, -72.64984095199964)",242,150142,300142
600143,North Dakota,"(47.47531977900047, -100.11842104899966)",243,150143,300143
600144,Washington,"(47.52227862900048, -120.47001078999972)",244,150144,300144
600145,Wisconsin,"(44.39319117400049, -89.81637074199966)",245,150145,300145
600146,New Mexico,"(34.52088095200048, -106.24058098499967)",246,150146,300146
600147,Mississippi,"(32.745510099000455, -89.53803082499968)",247,150147,300147
600148,Iowa,"(42.46940091300047, -93.81649055599968)",248,150148,300148
600149,Puerto Rico,"(18.220833, -66.590149)",249,150149,300149
600150,South Dakota,"(44.353130053000484, -100.3735306369997)",250,150150,300150
600151,Illinois,"(40.48501028300046, -88.99771017799969)",251,150151,300151
600152,Alaska,"(64.84507995700051, -147.72205903599973)",252,150152,300152
600153,Missouri,"(38.635790776000476, -92.56630005299968)",253,150153,300153
600154,New Hampshire,"(43.65595011300047, -71.50036091999965)",254,150154,300154
600155,Indiana,"(39.766910452000445, -86.14996019399968)",255,150155,300155
600156,Arkansas,"(34.74865012400045, -92.27449074299966)",256,150156,300156
600157,California,"(37.63864012300047, -120.99999953799971)",257,150157,300157
600158,Ohio,"(40.06021014100048, -82.40426005599966)",258,150158,300158
600159,South Carolina,"(33.998821303000454, -81.04537120699968)",259,150159,300159
600160,Nebraska,"(41.6410409880005, -99.36572062299967)",260,150160,300160
600161,Puerto Rico,"(18.220833, -66.590149)",261,150161,300161
600162,Missouri,"(38.635790776000476, -92.56630005299968)",262,150162,300162
600163,Alabama,"(32.84057112200048, -86.63186076199969)",263,150163,300163
600164,Oklahoma,"(35.47203135600046, -97.52107021399968)",264,150164,300164
600165,Alabama,"(32.84057112200048, -86.63186076199969)",265,150165,300165
600166,West Virginia,"(38.66551020200046, -80.71264013499967)",266,150166,300166
600167,Oregon,"(44.56744942400047, -120.15503132599969)",267,150167,300167
600168,South Carolina,"(33.998821303000454, -81.04537120699968)",268,150168,300168
600169,Missouri,"(38.635790776, -92.566300053)",269,150169,300169
600170,Vermont,"(43.62538123900049, -72.51764079099962)",270,150170,300170
600171,North Carolina,"(35.466220975000454, -79.15925046299964)",271,150171,300171
600172,Florida,"(28.932040377000476, -81.92896053899966)",272,150172,300172
600173,Tennessee,"(35.68094058000048, -85.77449091399967)",273,150173,300173
