Survey_ID,Class,Question,D_Value,L_Confidence,H_Confidence,P_ID
500000,Physical Activity,Percent of adults who engage in no leisure-time physical activity,38.1,32.6,43.8,100
500001,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.3,25.6,39.8,101
500002,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily,36.1,31.5,41,102
500003,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.1,33.6,38.7,103
500004,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.5,27.8,41.9,104
500005,Physical Activity,Percent of adults who engage in no leisure-time physical activity,21.5,19,24.3,105
500006,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33,29.7,36.4,106
500007,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28.5,25.8,31.4,107
500008,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25,22,28.4,108
500009,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.4,34.8,40,109
500010,Physical Activity,Percent of adults who engage in no leisure-time physical activity,46.1,37.2,55.3,110
500011,Fruits and Vegetables,Percent of adults who report consuming vegetables less than one time daily,26,19.1,34.2,111
500012,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,8.8,6.6,11.6,112
500013,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,42.8,34.5,51.5,113
500014,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.9,23.2,28.8,114
500015,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,41.9,37.6,46.3,115
500016,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.8,19.8,28.4,116
500017,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.6,29.9,43.8,117
500018,Physical Activity,Percent of adults who engage in no leisure-time physical activity,10.6,9,12.3,118
500019,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),65.8,63.9,67.6,119
500020,Physical Activity,Percent of adults who engage in no leisure-time physical activity,33.2,25.8,41.5,120
500021,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15,10.6,20.7,121
500022,Physical Activity,Percent of adults who engage in no leisure-time physical activity,34,28.4,40.1,122
500023,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.6,21.3,28.2,123
500024,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.6,18.4,32.1,124
500025,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.3,23.4,31.6,125
500026,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.1,30.4,38.1,126
500027,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.2,35.3,41.1,127
500028,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.8,25.1,37.1,128
500029,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.9,23.2,35.3,129
500030,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.7,27.4,32.2,130
500031,Physical Activity,Percent of adults who engage in no leisure-time physical activity,9.2,7.5,11.3,131
500032,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.7,25.4,36.5,132
500033,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.7,34.7,42.8,133
500034,Physical Activity,Percent of adults who engage in no leisure-time physical activity,7,6.2,7.9,134
500035,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.5,19.2,28.5,135
500036,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,35.3,27.2,44.4,136
500037,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.2,29.3,45.8,137
500038,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.1,13.3,26.6,138
500039,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.7,24.4,42.2,139
500040,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,4.5,3.5,5.9,140
500041,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),16.4,13.9,19.1,141
500042,Physical Activity,Percent of adults who engage in no leisure-time physical activity,44.6,39.3,50,142
500043,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.9,27.3,39,143
500044,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34,25.2,44,144
500045,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.9,30.9,41.2,145
500046,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,40.1,32.7,47.9,146
500047,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.4,20.2,29,147
500048,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,20.4,15.5,26.3,148
500049,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.5,31.6,48,149
500050,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,27.1,31.4,150
500051,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.2,33.2,39.4,151
500052,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.6,19.8,28,152
500053,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.3,32.1,44.9,153
500054,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.1,25.2,37.6,154
500055,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32,27.7,36.6,155
500056,Physical Activity,Percent of adults who engage in no leisure-time physical activity,39.4,33.6,45.5,156
500057,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.7,28.6,37.1,157
500058,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,43.7,37.5,50,158
