Weather_ID,State_ID,GeoLocation,Weather_Type,Temperature
300000,600000,"(18.220833, -66.590149)",Sunny,33
300001,600001,"(43.235541343, -108.109830353)",Sunny,1
300002,600002,"(47.522278629, -120.47001079)",Rainy,19
300003,600003,"(18.220833, -66.590149)",Cloudy,25
300004,600004,"(13.444304, 144.793731)",Sunny,22
300005,600005,"(44.661319543001, -84.71439027)",Snowy,-9
300006,600006,"(39.360700171, -111.587130635)",Foggy,11
300007,600007,"(46.35564873600049, -94.79420050299967)",Cloudy,4
300008,600008,"(40.130570048, -74.273691288)",Stormy,25
300009,600009,"(18.220833, -66.590149)",Cloudy,27
300010,600010,"(13.444304, 144.793731)",Rainy,22
300011,600011,"(41.708280193, -71.522470314)",Sunny,23
300012,600012,"(18.220833, -66.590149)",Stormy,26
300013,600013,"(18.220833, -66.590149)",Cloudy,26
300014,600014,"(38.843840757, -106.133610921)",Snowy,23
300015,600015,"(32.745510099, -89.538030825)",Humid,26
300016,600016,"(44.393191174, -89.816370742)",Snowy,26
300017,600017,"(31.312660644, -92.445680071)",Sunny,28
300018,600018,"(42.27687047, -72.082690675)",Snowy,15
300019,600019,"(47.522278629, -120.47001079)",Rainy,21
300020,600020,"(18.220833, -66.590149)",Cloudy,34
300021,600021,"(18.220833, -66.590149)",Stormy,25
300022,600022,"(18.220833, -66.590149)",Sunny,35
300023,600023,"(32.839681093, -83.627580346)",Humid,28
300024,600024,"(13.444304, 144.793731)",Cloudy,26
300025,600025,"(40.130570048, -74.273691288)",Rainy,28
300026,600026,"(35.466220975, -79.159250463)",Cloudy,35
300027,600027,"(40.793730152, -77.860700294)",Sunny,3
300028,600028,"(43.235541343, -108.109830353)",Cloudy,27
300029,600029,"(13.444304, 144.793731)",Humid,28
300030,600030,"(18.220833, -66.590149)",Cloudy,32
300031,600031,"(44.393191174, -89.816370742)",Sunny,25
300032,600032,"(34.748650124, -92.274490743)",Cloudy,8
300033,600033,"(44.661319543001, -84.71439027)",Sunny,13
300034,600034,"(38.843840757, -106.133610921)",Rainy,33
300035,600035,"(34.520880952, -106.240580985)",Sunny,16
300036,600036,"(13.444304, 144.793731)",Sunny,22
300037,600037,"(13.444304, 144.793731)",Sunny,27
300038,600038,"(44.393191174, -89.816370742)",Sunny,18
300039,600039,"(13.444304, 144.793731)",Sunny,24
300040,600040,"(18.220833, -66.590149)",Stormy,35
300041,600041,"(18.220833, -66.590149)",Sunny,27
300042,600042,"(31.827240407, -99.426770206)",Humid,18
300043,600043,"(44.567449424, -120.155031326)",Sunny,6
300044,600044,"(18.335765, -64.896335)",Sunny,28
300045,600045,"(41.641040988001, -99.365720623)",Sunny,6
300046,600046,"(13.444304, 144.793731)",Humid,30
300047,600047,"(39.008830667, -75.577741168)",Rainy,20
300048,600048,"(18.220833, -66.590149)",Stormy,35
300049,600049,"(18.220833, -66.590149)",Sunny,29
300050,600050,"(46.355648736, -94.794200503)",Windy,1
300051,600051,"(43.625381239, -72.517640791)",Snowy,27
300052,600052,"(32.839681093, -83.627580346)",Sunny,21
300053,600053,"(42.469400913, -93.816490556)",Rainy,-1
300054,600054,"(34.748650124, -92.274490743)",Rainy,21
300055,600055,"(35.68094058, -85.774490914)",Cloudy,19
300056,600056,"(40.485010283, -88.997710178)",Sunny,29
300057,600057,"(44.567449424, -120.155031326)",Rainy,29
300058,600058,"(18.220833, -66.590149)",Cloudy,30
300059,600059,"(13.444304, 144.793731)",Cloudy,24
300060,600060,"(13.444304, 144.793731)",Rainy,22
300061,600061,"(44.353130053, -100.373530637)",Snowy,5
300062,600062,"(13.444304, 144.793731)",Sunny,30
300063,600063,"(40.130570048, -74.273691288)",Cloudy,23
300064,600064,"(35.466220975, -79.159250463)",Rainy,24
300065,600065,"(41.708280193, -71.522470314)",Rainy,21
300066,600066,"(13.444304, 144.793731)",Sunny,22
300067,600067,"(18.220833, -66.590149)",Rainy,30
300068,600068,"(44.6613195430005, -84.71439026999968)",Sunny,13
300069,600069,"(34.865970280000454, -111.76381127699972)",Dry,41
300070,600070,"(43.62538123900049, -72.51764079099962)",Snowy,5
300071,600071,"(39.493240390000494, -117.07184056399967)",Hot,37
300072,600072,"(18.220833, -66.590149)",Stormy,25
300073,600073,"(33.998821303000454, -81.04537120699968)",Rainy,24
300074,600074,"(32.83968109300048, -83.62758034599966)",Sunny,21
300075,600075,"(37.54268067400045, -78.45789046299967)",Rainy,33
300076,600076,"(37.63864012300047, -120.99999953799971)",Sunny,18
300077,600077,"(31.31266064400046, -92.44568007099969)",Humid,23
300078,600078,"(35.47203135600046, -97.52107021399968)",Sunny,35
300079,600079,"(32.83968109300048, -83.62758034599966)",Humid,26
300080,600080,"(35.68094058000048, -85.77449091399967)",Sunny,14
300081,600081,"(38.89037138500049, -77.03196112699965)",Rainy,17
300082,600082,"(41.6410409880005, -99.36572062299967)",Rainy,17
300083,600083,"(64.84507995700051, -147.72205903599973)",Snowy,-7
300084,600084,"(39.29058096400047, -76.60926011099963)",Cloudy,26
300085,600085,"(40.06021014100048, -82.40426005599966)",Rainy,-9
300086,600086,"(41.56266102000046, -72.64984095199964)",Cloudy,16
300087,600087,"(40.13057004800049, -74.27369128799967)",Stormy,24
300088,600088,"(38.635790776000476, -92.56630005299968)",Sunny,20
300089,600089,"(44.6613195430005, -84.71439026999968)",Cloudy,11
300090,600090,"(34.865970280000454, -111.76381127699972)",Dry,33
300091,600091,"(43.62538123900049, -72.51764079099962)",Snowy,30
300092,600092,"(39.493240390000494, -117.07184056399967)",Sunny,36
300093,600093,"(18.220833, -66.590149)",Sunny,27
300094,600094,"(33.998821303000454, -81.04537120699968)",Humid,27
300095,600095,"(32.83968109300048, -83.62758034599966)",Rainy,17
300096,600096,"(37.54268067400045, -78.45789046299967)",Sunny,16
300097,600097,"(37.63864012300047, -120.99999953799971)",Foggy,27
300098,600098,"(31.31266064400046, -92.44568007099969)",Sunny,27
300099,600099,"(35.47203135600046, -97.52107021399968)",Stormy,31
300100,600100,"(32.83968109300048, -83.62758034599966)",Rainy,31
300101,600101,"(35.68094058000048, -85.77449091399967)",Cloudy,32
300102,600102,"(38.89037138500049, -77.03196112699965)",Cloudy,29
300103,600103,"(41.6410409880005, -99.36572062299967)",Rainy,24
300104,600104,"(64.84507995700051, -147.72205903599973)",Cold,-18
300105,600105,"(39.29058096400047, -76.60926011099963)",Cloudy,21
300106,600106,"(40.06021014100048, -82.40426005599966)",Rainy,15
300107,600107,"(41.56266102000046, -72.64984095199964)",Sunny,21
300108,600108,"(40.13057004800049, -74.27369128799967)",Rainy,7
300109,600109,"(38.635790776000476, -92.56630005299968)",Sunny,8
300110,600110,"(47.52227862900048, -120.47001078999972)",Cloudy,14
300111,600111,"(40.13057004800049, -74.27369128799967)",Cloudy,5
300112,600112,"(37.645970271000465, -84.77497104799966)",Sunny,15
300113,600113,"(28.932040377000476, -81.92896053899966)",Sunny,30
300114,600114,"(35.466220975000454, -79.15925046299964)",Cloudy,19
300115,600115,"(42.82700103200045, -75.54397042699964)",Cloudy,0
300116,600116,"(38.843840757000464, -106.13361092099967)",Snowy,24
300117,600117,"(38.635790776, -92.566300053)",Rainy,29
300118,600118,"(40.13057004800049, -74.27369128799967)",Cloudy,26
300119,600119,"(33.998821303000454, -81.04537120699968)",Humid,35
300120,600120,"(37.645970271000465, -84.77497104799966)",Sunny,15
300121,600121,"(42.27687047000046, -72.08269067499964)",Sunny,-2
300122,600122,"(40.48501028300046, -88.99771017799969)",Rainy,-5
300123,600123,"(38.635790776000476, -92.56630005299968)",Rainy,-8
300124,600124,"(34.865970280000454, -111.76381127699972)",Dry,43
300125,600125,"(34.74865012400045, -92.27449074299966)",Rainy,23
300126,600126,"(39.493240390000494, -117.07184056399967)",Sunny,34
300127,600127,"(44.353130053000484, -100.3735306369997)",Sunny,14
300128,600128,"(47.47531977900047, -100.11842104899966)",Sunny,15
300129,600129,"(47.06652897200047, -109.42442064499971)",Snowy,-1
300130,600130,"(31.31266064400046, -92.44568007099969)",Humid,26
300131,600131,"(44.353130053000484, -100.3735306369997)",Cloudy,10
300132,600132,"(13.444304, 144.793731)",Rainy,26
300133,600133,"(46.35564873600049, -94.79420050299967)",Sunny,24
300134,600134,"(35.47203135600046, -97.52107021399968)",Stormy,27
300135,600135,"(39.360700171000474, -111.58713063499971)",Windy,30
300136,600136,"(43.65595011300047, -71.50036091999965)",Rainy,7
300137,600137,"(37.63864012300047, -120.99999953799971)",Sunny,37
300138,600138,"(38.34774030000045, -98.20078122699965)",Rainy,-6
300139,600139,"(43.23554134300048, -108.10983035299967)",Cloudy,10
300140,600140,"(41.70828019300046, -71.52247031399963)",Sunny,22
300141,600141,"(21.304850435000446, -157.85774940299973)",Rainy,22
300142,600142,"(41.56266102000046, -72.64984095199964)",Cloudy,28
300143,600143,"(47.47531977900047, -100.11842104899966)",Sunny,22
300144,600144,"(47.52227862900048, -120.47001078999972)",Rainy,20
300145,600145,"(44.39319117400049, -89.81637074199966)",Sunny,21
300146,600146,"(34.52088095200048, -106.24058098499967)",Sunny,24
300147,600147,"(32.745510099000455, -89.53803082499968)",Sunny,31
300148,600148,"(42.46940091300047, -93.81649055599968)",Cloudy,-9
300149,600149,"(18.220833, -66.590149)",Stormy,35
300150,600150,"(44.353130053000484, -100.3735306369997)",Sunny,23
300151,600151,"(40.48501028300046, -88.99771017799969)",Rainy,-4
300152,600152,"(64.84507995700051, -147.72205903599973)",Snowy,-5
300153,600153,"(38.635790776000476, -92.56630005299968)",Sunny,19
300154,600154,"(43.65595011300047, -71.50036091999965)",Rainy,9
300155,600155,"(39.766910452000445, -86.14996019399968)",Sunny,15
300156,600156,"(34.74865012400045, -92.27449074299966)",Cloudy,7
300157,600157,"(37.63864012300047, -120.99999953799971)",Foggy,32
300158,600158,"(40.06021014100048, -82.40426005599966)",Rainy,-2
300159,600159,"(33.998821303000454, -81.04537120699968)",Humid,35
300160,600160,"(41.6410409880005, -99.36572062299967)",Cloudy,19
300161,600161,"(18.220833, -66.590149)",Sunny,32
300162,600162,"(38.635790776000476, -92.56630005299968)",Cloudy,-8
300163,600163,"(32.84057112200048, -86.63186076199969)",Sunny,10
300164,600164,"(35.47203135600046, -97.52107021399968)",Stormy,34
300165,600165,"(32.84057112200048, -86.63186076199969)",Humid,31
300166,600166,"(38.66551020200046, -80.71264013499967)",Rainy,19
300167,600167,"(44.56744942400047, -120.15503132599969)",Rainy,12
300168,600168,"(33.998821303000454, -81.04537120699968)",Rainy,10
300169,600169,"(38.635790776, -92.566300053)",Sunny,5
300170,600170,"(43.62538123900049, -72.51764079099962)",Sunny,16
300171,600171,"(35.466220975000454, -79.15925046299964)",Sunny,7
300172,600172,"(28.932040377000476, -81.92896053899966)",Sunny,24
300173,600173,"(35.68094058000048, -85.77449091399967)",Cloudy,24
300174,600174,"(13.444304, 144.793731)",Cloudy,26
300175,600175,"(42.46940091300047, -93.81649055599968)",Rainy,5
300176,600176,"(34.865970280000454, -111.76381127699972)",Hot,25
300177,600177,"(47.06652897200047, -109.42442064499971)",Cloudy,24
300178,600178,"(43.682630005000476, -114.3637300419997)",Snowy,-9
300179,600179,"(46.35564873600049, -94.79420050299967)",Sunny,0
300180,600180,"(34.52088095200048, -106.24058098499967)",Sunny,27
300181,600181,"(38.89037138500049, -77.03196112699965)",Sunny,10
300182,600182,"(44.39319117400049, -89.81637074199966)",Snowy,-14
300183,600183,"(44.353130053000484, -100.3735306369997)",Cloudy,13
300184,600184,"(39.766910452000445, -86.14996019399968)",Rainy,7
300185,600185,"(35.68094058000048, -85.77449091399967)",Sunny,27
300186,600186,"(31.827240407000488, -99.42677020599967)",Sunny,24
300187,600187,"(44.39319117400049, -89.81637074199966)",Cloudy,-4
300188,600188,"(39.008830667, -75.577741168)",Rainy,7
300189,600189,"(31.827240407000488, -99.42677020599967)",Sunny,31
300190,600190,"(38.843840757000464, -106.13361092099967)",Sunny,12
300191,600191,"(39.766910452000445, -86.14996019399968)",Rainy,20
300192,600192,"(21.304850435000446, -157.85774940299973)",Humid,28
300193,600193,"(32.84057112200048, -86.63186076199969)",Sunny,10
300194,600194,"(32.745510099000455, -89.53803082499968)",Humid,15
