D_ID,P_ID,Ethnicity,Income
150000,100,Asian,"$25,000 - $34,999"
150001,101,Pacific Islander,"Less than $15,000"
150002,102,White,"Less than $15,000"
150003,103,Black,"Less than $15,000"
150004,104,White,"Less than $15,000"
150005,105,Black,"$50,000 - $74,999"
150006,106,White,Unemployed
150007,107,Pacific Islander,"$15,000 - $24,999"
150008,108,Asian,"$35,000 - $49,999"
150009,109,Asian,"Less than $15,000"
150010,110,Hispanic,"Less than $15,000"
150011,111,Black,"$25,000 - $34,999"
150012,112,Asian,Unemployed
150013,113,Asian,"$75,000 or greater"
150014,114,Hispanic,"$15,000 - $24,999"
150015,115,Pacific Islander,"$15,000 - $24,999"
150016,116,White,Unemployed
150017,117,Native American,"$25,000 - $34,999"
150018,118,Black,"$75,000 or greater"
150019,119,Black,"$75,000 or greater"
150020,120,Other,"$50,000 - $74,999"
150021,121,Black,"$25,000 - $34,999"
150022,122,Hispanic,"$35,000 - $49,999"
150023,123,Black,"$75,000 or greater"
150024,124,Native American,"$25,000 - $34,999"
150025,125,Other,Unemployed
150026,126,Native American,Unemployed
150027,127,Native American,"$75,000 or greater"
150028,128,Black,Unemployed
150029,129,White,"$35,000 - $49,999"
150030,130,White,"Less than $15,000"
150031,131,Pacific Islander,"$75,000 or greater"
150032,132,Pacific Islander,Unemployed
150033,133,Other,"Less than $15,000"
150034,134,Black,"$75,000 or greater"
150035,135,Native American,"$35,000 - $49,999"
150036,136,Black,"$35,000 - $49,999"
150037,137,Asian,"$50,000 - $74,999"
150038,138,Asian,"Less than $15,000"
150039,139,Hispanic,Unemployed
150040,140,Asian,"Less than $15,000"
150041,141,Hispanic,"$15,000 - $24,999"
150042,142,Black,"Less than $15,000"
150043,143,Hispanic,"Less than $15,000"
150044,144,Other,"$15,000 - $24,999"
150045,145,White,"Less than $15,000"
150046,146,White,"$75,000 or greater"
150047,147,Native American,"$50,000 - $74,999"
150048,148,Other,"$25,000 - $34,999"
150049,149,Native American,"$50,000 - $74,999"
150050,150,Black,"$50,000 - $74,999"
150051,151,Black,"$75,000 or greater"
150052,152,Hispanic,Unemployed
150053,153,White,"Less than $15,000"
150054,154,Hispanic,"$50,000 - $74,999"
150055,155,White,"$35,000 - $49,999"
150056,156,Pacific Islander,"Less than $15,000"
150057,157,Native American,"$15,000 - $24,999"
150058,158,Hispanic,"$35,000 - $49,999"
150059,159,Asian,"$50,000 - $74,999"
150060,160,Pacific Islander,"Less than $15,000"
150061,161,Native American,"Less than $15,000"
150062,162,Asian,"$75,000 or greater"
150063,163,Pacific Islander,"Less than $15,000"
150064,164,Pacific Islander,"$50,000 - $74,999"
150065,165,Other,"$50,000 - $74,999"
150066,166,Native American,"$15,000 - $24,999"
150067,167,White,"$35,000 - $49,999"
150068,168,Native American,"Less than $15,000"
150069,169,Hispanic,Unemployed
150070,170,Pacific Islander,"$25,000 - $34,999"
150071,171,Asian,"Less than $15,000"
150072,172,Hispanic,"$50,000 - $74,999"
150073,173,Hispanic,"$50,000 - $74,999"
150074,174,Other,"$50,000 - $74,999"
150075,175,White,"$25,000 - $34,999"
150076,176,White,"$75,000 or greater"
150077,177,Black,"$35,000 - $49,999"
150078,178,White,"$75,000 or greater"
150079,179,Native American,"$25,000 - $34,999"
150080,180,Pacific Islander,"$75,000 or greater"
150081,181,Asian,"$25,000 - $34,999"
150082,182,Asian,"$25,000 - $34,999"
150083,183,Other,"$15,000 - $24,999"
150084,184,Native American,"$50,000 - $74,999"
150085,185,Other,"Less than $15,000"
150086,186,Hispanic,"Less than $15,000"
150087,187,Asian,"$35,000 - $49,999"
150088,188,White,Unemployed
150089,189,Black,"Less than $15,000"
150090,190,Other,Unemployed
150091,191,Other,"$25,000 - $34,999"
150092,192,Asian,"Less than $15,000"
150093,193,Asian,"$50,000 - $74,999"
150094,194,Hispanic,"$50,000 - $74,999"
150095,195,Pacific Islander,"$50,000 - $74,999"
150096,196,Other,"$25,000 - $34,999"
150097,197,Native American,"$75,000 or greater"
150098,198,Pacific Islander,"$35,000 - $49,999"
150099,199,Hispanic,"$75,000 or greater"
150100,200,Pacific Islander,"$25,000 - $34,999"
150101,201,Asian,"$75,000 or greater"
150102,202,Other,"$25,000 - $34,999"
150103,203,Pacific Islander,"$25,000 - $34,999"
150104,204,Asian,"$15,000 - $24,999"
150105,205,Pacific Islander,"$50,000 - $74,999"
150106,206,Native American,"Less than $15,000"
150107,207,Other,"Less than $15,000"
150108,208,Pacific Islander,"$35,000 - $49,999"
150109,209,White,Unemployed
150110,210,Black,"$25,000 - $34,999"
150111,211,White,Unemployed
150112,212,Native American,"$75,000 or greater"
150113,213,Native American,"$25,000 - $34,999"
150114,214,Native American,"$35,000 - $49,999"
150115,215,Other,"$75,000 or greater"
150116,216,Native American,Unemployed
150117,217,Pacific Islander,"Less than $15,000"
150118,218,Native American,"Less than $15,000"
150119,219,White,Unemployed
