Survey_ID,Response_ID,Response_Year,Response_Month,Class
500000,400000,2015,2,Physical Activity
500001,400001,2012,8,Physical Activity
500002,400002,2017,10,Fruits and Vegetables
500003,400003,2014,3,Obesity / Weight Status
500004,400004,2014,9,Obesity / Weight Status
500005,400005,2016,4,Physical Activity
500006,400006,2016,4,Obesity / Weight Status
500007,400007,2020,7,Physical Activity
500008,400008,2012,11,Obesity / Weight Status
500009,400009,2013,3,Obesity / Weight Status
500010,400010,2017,1,Physical Activity
500011,400011,2017,4,Fruits and Vegetables
500012,400012,2015,3,Physical Activity
500013,400013,2014,4,Obesity / Weight Status
500014,400014,2016,8,Physical Activity
500015,400015,2016,10,Obesity / Weight Status
500016,400016,2016,4,Physical Activity
500017,400017,2016,5,Obesity / Weight Status
500018,400018,2016,3,Physical Activity
500019,400019,2017,6,Physical Activity
500020,400020,2015,2,Physical Activity
500021,400021,2015,10,Physical Activity
500022,400022,2015,10,Physical Activity
500023,400023,2015,10,Obesity / Weight Status
500024,400024,2014,11,Obesity / Weight Status
500025,400025,2017,5,Physical Activity
500026,400026,2016,3,Obesity / Weight Status
500027,400027,2016,3,Obesity / Weight Status
500028,400028,2016,12,Physical Activity
500029,400029,2014,4,Obesity / Weight Status
500030,400030,2015,10,Physical Activity
500031,400031,2016,2,Physical Activity
500032,400032,2016,12,Obesity / Weight Status
500033,400033,2016,2,Obesity / Weight Status
500034,400034,2016,4,Physical Activity
500035,400035,2017,3,Physical Activity
500036,400036,2015,3,Physical Activity
500037,400037,2014,12,Obesity / Weight Status
500038,400038,2015,7,Physical Activity
500039,400039,2014,9,Obesity / Weight Status
500040,400040,2015,12,Physical Activity
500041,400041,2015,11,Physical Activity
500042,400042,2016,5,Physical Activity
500043,400043,2016,11,Obesity / Weight Status
500044,400044,2016,9,Obesity / Weight Status
500045,400045,2016,10,Obesity / Weight Status
500046,400046,2015,1,Obesity / Weight Status
500047,400047,2011,7,Physical Activity
500048,400048,2015,1,Physical Activity
500049,400049,2015,12,Obesity / Weight Status
500050,400050,2016,11,Obesity / Weight Status
500051,400051,2016,6,Obesity / Weight Status
500052,400052,2016,3,Obesity / Weight Status
500053,400053,2016,8,Obesity / Weight Status
500054,400054,2016,12,Obesity / Weight Status
500055,400055,2016,2,Obesity / Weight Status
500056,400056,2016,10,Physical Activity
500057,400057,2016,1,Obesity / Weight Status
500058,400058,2015,4,Obesity / Weight Status
500059,400059,2015,11,Obesity / Weight Status
500060,400060,2015,4,Physical Activity
500061,400061,2013,2,Obesity / Weight Status
500062,400062,2015,4,Physical Activity
500063,400063,2015,11,Physical Activity
500064,400064,2016,4,Obesity / Weight Status
500065,400065,2013,10,Obesity / Weight Status
500066,400066,2014,3,Obesity / Weight Status
500067,400067,2020,3,Obesity / Weight Status
500068,400068,2020,3,Obesity / Weight Status
500069,400069,2020,10,Obesity / Weight Status
500070,400070,2020,9,Obesity / Weight Status
500071,400071,2020,4,Obesity / Weight Status
500072,400072,2020,12,Physical Activity
500073,400073,2020,2,Obesity / Weight Status
500074,400074,2020,1,Obesity / Weight Status
500075,400075,2020,1,Physical Activity
500076,400076,2020,6,Obesity / Weight Status
500077,400077,2020,6,Obesity / Weight Status
500078,400078,2020,6,Obesity / Weight Status
500079,400079,2020,5,Physical Activity
500080,400080,2020,7,Obesity / Weight Status
500081,400081,2020,11,Obesity / Weight Status
500082,400082,2020,5,Obesity / Weight Status
500083,400083,2020,9,Obesity / Weight Status
500084,400084,2020,9,Obesity / Weight Status
500085,400085,2020,8,Obesity / Weight Status
500086,400086,2020,6,Obesity / Weight Status
500087,400087,2020,9,Obesity / Weight Status
500088,400088,2020,1,Obesity / Weight Status
500089,400089,2018,6,Obesity / Weight Status
500090,400090,2018,5,Obesity / Weight Status
500091,400091,2018,5,Obesity / Weight Status
500092,400092,2018,12,Obesity / Weight Status
500093,400093,2018,12,Physical Activity
500094,400094,2018,1,Obesity / Weight Status
500095,400095,2018,11,Obesity / Weight Status
500096,400096,2018,3,Physical Activity
500097,400097,2018,1,Obesity / Weight Status
500098,400098,2018,10,Obesity / Weight Status
500099,400099,2018,4,Obesity / Weight Status
500100,400100,2018,3,Physical Activity
500101,400101,2018,9,Obesity / Weight Status
500102,400102,2018,5,Obesity / Weight Status
500103,400103,2018,6,Obesity / Weight Status
