Time_ID,Year,Month,P_ID
350000,2021,6,100
350001,2022,3,101
350002,2022,1,102
350003,2023,1,103
350004,2022,1,104
350005,2022,11,105
350006,2022,1,106
350007,2022,1,107
350008,2021,3,108
350009,2021,4,109
350010,2021,2,110
350011,2022,2,111
350012,2021,7,112
350013,2022,3,113
350014,2022,4,114
350015,2021,2,115
350016,2022,4,116
350017,2022,3,117
350018,2022,7,118
350019,2023,3,119
350020,2022,2,120
350021,2023,2,121
350022,2022,10,122
350023,2021,2,123
350024,2021,10,124
350025,2023,1,125
350026,2023,11,126
350027,2022,7,127
350028,2022,1,128
350029,2022,9,129
350030,2022,2,130
350031,2023,11,131
350032,2023,11,132
350033,2021,5,133
350034,2022,9,134
350035,2022,1,135
350036,2022,1,136
350037,2023,2,137
350038,2022,3,138
350039,2022,9,139
350040,2023,2,140
350041,2023,11,141
350042,2023,4,142
350043,2022,3,143
350044,2021,10,144
350045,2021,3,145
350046,2023,4,146
350047,2022,6,147
350048,2022,8,148
350049,2022,8,149
350050,2023,2,150
350051,2023,3,151
350052,2022,8,152
350053,2022,3,153
350054,2022,2,154
350055,2022,1,155
350056,2021,3,156
350057,2021,8,157
350058,2022,10,158
350059,2021,6,159
350060,2022,2,160
350061,2022,2,161
350062,2023,3,162
350063,2023,1,163
350064,2022,4,164
350065,2023,3,165
350066,2021,7,166
350067,2023,12,167
350068,2023,6,168
350069,2023,1,169
350070,2022,5,170
350071,2021,1,171
350072,2023,4,172
350073,2023,1,173
350074,2022,4,174
350075,2022,3,175
350076,2022,3,176
350077,2022,1,177
350078,2021,3,178
350079,2023,12,179
350080,2022,4,180
350081,2021,5,181
350082,2021,6,182
350083,2021,10,183
350084,2021,12,184
350085,2022,6,185
350086,2021,1,186
350087,2023,1,187
350088,2022,7,188
350089,2021,9,189
350090,2022,6,190
350091,2023,3,191
350092,2021,10,192
350093,2021,9,193
350094,2021,7,194
350095,2021,9,195
350096,2021,4,196
350097,2022,7,197
350098,2022,2,198
350099,2021,6,199
350100,2022,10,200
350101,2021,3,201
350102,2022,11,202
350103,2021,12,203
350104,2021,9,204
350105,2022,6,205
350106,2021,2,206
350107,2022,1,207
350108,2021,2,208
350109,2023,7,209
350110,2021,3,210
350111,2021,10,211
350112,2021,5,212
350113,2022,11,213
350114,2021,11,214
350115,2022,6,215
350116,2022,4,216
350117,2023,1,217
350118,2022,9,218
350119,2023,2,219
350120,2023,6,220
350121,2021,2,221
350122,2021,11,222
350123,2021,10,223
350124,2023,7,224
350125,2022,12,225
350126,2023,11,226
350127,2021,2,227
350128,2022,2,228
350129,2022,4,229
350130,2023,1,230
350131,2023,1,231
350132,2023,2,232
350133,2021,1,233
350134,2022,2,234
350135,2023,1,235
350136,2021,2,236
350137,2021,3,237
350138,2021,5,238
350139,2023,10,239
350140,2023,12,240
350141,2023,3,241
350142,2022,1,242
350143,2021,3,243
350144,2021,2,244
350145,2023,3,245
350146,2023,1,246
350147,2021,2,247
350148,2022,7,248
350149,2022,2,249
350150,2022,2,250
350151,2022,1,251
350152,2022,3,252
350153,2021,4,253
350154,2021,4,254
350155,2022,8,255
350156,2021,4,256
350157,2023,11,257
350158,2023,3,258
350159,2021,1,259
350160,2021,4,260
350161,2023,8,261
350162,2023,2,262
350163,2021,5,263
350164,2023,1,264
350165,2022,9,265
350166,2023,1,266
350167,2022,10,267
350168,2023,5,268
350169,2022,9,269
350170,2023,3,270
350171,2022,3,271
350172,2021,2,272
350173,2022,1,273
350174,2023,4,274
350175,2022,6,275
350176,2021,8,276
350177,2023,1,277
350178,2022,4,278
350179,2021,3,279
350180,2021,1,280
350181,2023,3,281
350182,2022,5,282
350183,2021,11,283
350184,2021,1,284
350185,2023,3,285
350186,2022,9,286
350187,2023,2,287
350188,2023,3,288
350189,2021,2,289
350190,2021,12,290
350191,2022,1,291
350192,2022,7,292
350193,2023,3,293
350194,2023,1,294
350195,2023,7,295
350196,2022,3,296
350197,2023,2,297
350198,2021,6,298
350199,2023,2,299
350200,2023,2,300
350201,2023,1,301
350202,2022,3,302
350203,2021,12,303
350204,2023,9,304
350205,2022,5,305
350206,2023,6,306
350207,2023,2,307
350208,2021,4,308
350209,2021,10,309
350210,2023,3,310
350211,2022,12,311
350212,2022,11,312
350213,2022,12,313
350214,2022,7,314
350215,2022,1,315
350216,2021,5,316
350217,2022,11,317
350218,2022,4,318
350219,2023,3,319
350220,2021,8,320
350221,2022,12,321
350222,2022,1,322
350223,2023,7,323
350224,2021,1,324
350225,2021,4,325
350226,2022,8,326
350227,2021,7,327
350228,2022,3,328
350229,2023,2,329
350230,2022,2,330
